Ciudad;Coordenadas
  La Acebeda;41.0930184542923,-3.6201388451
  Ajalvir;40.5290869072082,-3.4765786497
  Alameda del Valle;40.9204642345628,-3.8482444566
  El alamo;40.2328447920607,-3.9873046784
  Alcala de Henares;40.4994044151797,-3.3401732231
  Alcobendas;40.5361528074896,-3.6291320200
  Alcorcon;40.3492301805427,-3.8284724950
  Aldea del Fresno;40.3064188142099,-4.2175445017
  Algete;40.6149831488445,-3.5332791623
  Alpedrete;40.6619057447873,-4.0188988955
  Ambite;40.3425539086476,-3.1719971825
  Anchuelo;40.4688341160077,-3.2765909995
  Aranjuez;40.0201959278488,-3.6590717053
  Arganda del Rey;40.2963710574893,-3.4494456553
  Arroyomolinos;39.14453538418,-6.145081978888
 El Atazar;40.9291900455952,-3.4725994424
  Batres;40.2253756745192,-3.9279972834
  Becerril de la Sierra;40.7030728964239,-3.9336828559
  Belmonte de Tajo;40.1329438910525,-3.3375285243
  Berrueco El;40.8882301695029,-3.5532282577
  Berzosa del Lozoya;40.973604970757,-3.53245574777
  Boadilla del Monte;40.4046078284925,-3.8846969604
  El Boalo;40.7010483087815,-3.9146047118
  Braojos;41.0566159150237,-3.6558104438
  Brea de Tajo;40.2386793085996,-3.1200750208
  Brunete;40.399571349713,-3.99752718267
  Buitrago del Lozoya;40.9941858015711,-3.6353828942
  Bustarviejo;40.843724975422,-3.73083730601
  Cabanillas de la Sierra;40.8257025502559,-3.6367763845
  Cabrera La;40.8642054412246,-3.6082815679
  Cadalso de los Vidrios;40.2984134476714,-4.4388129975
  Camarma de Esteruelas;40.5630469260784,-3.3745794039
  Campo Real;40.3223777787187,-3.3776661193
  Canencia;40.8925333651324,-3.7553349040
  Carabana;40.2553703051457,-3.2468310609
  Casarrubuelos;40.1748885191372,-3.8268498010
  Cenicientos;40.2420725209193,-4.5083586413
  Cercedilla;40.7569931686613,-4.0542201025
  Cervera de Buitrago;40.9133961387403,-3.5189323451
  Chapineria;40.3684718429488,-4.1995337476
  Chinchon;40.1549814218151,-3.4881270304
  Ciempozuelos;40.1535990132937,-3.6000997496
  Cobena;40.572988892993,-3.50784095999
  Collado Mediano;40.6938482558087,-4.0324398224
  Collado Villalba;40.642970427116,-3.99051888389
  Colmenar de Oreja;40.073566869533,-3.45799369464
  Colmenar del Arroyo;40.3962749968664,-4.1765863985
  Colmenar Viejo;40.6402717148913,-3.7315088778
  Colmenarejo;40.5302453656987,-4.0161034264
  Corpa;40.4247072043134,-3.2504958142
  Coslada;40.4290160730953,-3.5515910088
  Cubas de la Sagra;40.1916176609962,-3.8341913675
  Daganzo de Arriba;40.5625325023194,-3.4398829922
  El Escorial ;40.5741999819206,-4.0969685246
  Estremera;40.1401713329908,-3.0937353480
  Fresnedillas de la Oliva;40.4748283396668,-4.1787986430
  Fresno de Torote;40.6045758335124,-3.4040291287
  Fuenlabrada;40.2885396922775,-3.7972964655
  Fuente el Saz de Jarama;40.6386828713088,-3.5212288722
  Fuentiduena de Tajo;40.1136414461273,-3.1645427223
